gene_name,SRR34947105,SRR34947106,SRR34947115,SRR34947116,SRR34947127,SRR34947128,SRR34947132,SRR34947133
SLC7A14,0,0,42,32,0,0,0,4
CLDN11,0,0,136,125,1,0,5,9
SLC25A39,118,109,463,420,369,88,578,681
MVP,23,17,284,241,49,7,38,30
NUB1,54,26,163,135,253,78,291,372
PGM3,99,48,517,455,289,93,379,386
RWDD2A,19,12,27,57,55,13,58,91
CLK1,34,24,45,27,48,32,138,128
POLR3B,12,16,63,45,53,18,76,66
ANGEL1,3,2,45,34,57,7,82,82
RNF14,21,18,94,61,75,28,83,85
DNASE1L1,3,14,159,112,32,8,25,28
DDX11,32,20,43,33,95,16,250,238
HEBP1,47,49,209,196,141,54,332,262
GPRC5A,1,0,41,20,1,0,2,9
MAMLD1,0,0,1,1,8,8,25,14
CD6,0,0,0,0,0,0,2,0
TACC3,52,41,37,33,164,70,359,333
UFL1,80,58,451,417,373,104,391,396
POLA2,7,0,3,3,8,3,12,13
ZC3H3,10,6,54,54,80,12,117,101
CAPN1,46,19,294,302,182,40,171,133
ACP3,0,0,22,15,1,0,0,0
MDH1,930,730,2281,2262,1539,508,2183,2137
SLC30A9,228,122,437,307,498,109,718,536
MTMR11,3,2,8,10,5,1,6,4
COX15,13,7,51,53,41,15,58,69
CCDC88C,10,10,1,4,52,10,123,108
YAF2,37,19,53,59,81,14,130,118
ZMYND11,65,31,174,141,158,49,249,220
WAS,0,0,1,0,1,0,4,1
DPEP1,0,0,0,0,0,1,0,0
BID,120,103,354,324,204,48,565,525
MATR3,784,502,1412,1014,1966,748,3750,4303
NPC1L1,0,0,0,1,0,0,0,0
XYLT2,7,5,98,78,30,10,63,52
RGPD5,0,1,5,5,4,1,5,2
STMN4,58,66,10,2,152,26,324,344
NUDCD3,43,32,265,161,177,30,273,286
ISL1,0,0,0,0,0,0,0,0
CHDH,0,0,6,9,7,3,47,27
IL20RA,0,0,1,1,0,0,1,0
CLCA1,0,0,0,0,0,0,0,0
CLCA4,0,0,0,0,0,0,0,0
GLT8D1,18,18,133,109,72,13,98,142
ATP2C1,41,23,187,131,132,39,185,156
IGF1,0,0,19,9,0,2,1,2
SLC38A5,0,0,0,2,3,0,0,1
RALBP1,58,48,348,338,371,80,428,373
RUFY3,54,38,120,83,157,26,262,231
CNTN1,1,0,10,5,6,3,15,6
SLC11A1,0,0,0,1,2,0,0,0
WWTR1,31,23,74,105,78,31,57,65
AGPS,24,15,96,80,86,18,114,100
ZNF285CP,0,0,0,0,0,0,0,0
STEEP1,19,14,60,54,65,12,113,103
ATP1A2,17,3,35,43,175,61,165,138
TTC27,19,11,72,67,46,15,56,68
ZNF582,8,7,8,20,26,2,35,35
VSIG2,0,0,0,0,1,0,8,1
PHLDB1,10,9,115,87,57,9,96,83
MARCO,0,0,0,0,0,0,0,0
CYP24A1,0,0,5,2,0,0,0,0
PRDM11,1,0,23,26,2,1,6,8
SYT13,0,0,1,4,0,2,0,0
SNAI2,20,9,743,541,28,5,94,65
CD74,23,10,45,33,13,8,2,3
HGF,0,0,0,2,0,0,0,0
ZRANB1,1,3,20,25,33,9,31,34
NCDN,9,9,101,59,78,21,140,102
ADGRA2,1,0,141,86,1,0,7,7
CCT8L1P,0,0,0,0,0,0,0,0
ZFP64,20,13,52,49,55,13,121,149
MNAT1,61,53,215,211,280,45,367,369
SAMD4A,1,6,90,56,9,6,35,16
RUNX3,0,0,2,0,2,0,0,0
MRE11,28,11,77,52,186,37,208,266
PLEKHB1,2,0,0,1,14,10,12,14
SERPINB1,5,8,284,193,14,1,25,19
CYP3A43,0,0,0,0,0,0,0,0
SLC7A9,0,0,0,0,0,0,0,1
SPAST,57,23,73,84,159,44,237,195
NRXN3,9,7,28,12,11,8,37,31
OSBPL5,18,14,56,40,54,8,56,55
AQR,36,21,84,74,124,39,185,173
CPS1,15,6,126,60,51,5,57,69
C8B,0,0,0,0,0,0,0,2
FHL1,41,28,706,631,477,168,391,537
RTF2,247,168,807,742,737,189,1139,1067
GABRA1,0,0,1,0,0,0,0,0
NLRP2,0,0,0,0,0,0,0,0
SLC45A4,0,0,3,2,6,0,19,18
RNF10,41,32,230,217,178,40,281,262
ZNF839,5,2,7,5,20,3,33,27
ZDHHC6,62,44,119,64,142,47,258,218
GRAMD1B,4,3,7,4,11,4,23,6
RNH1,78,55,447,458,266,79,445,469
NDUFS1,78,31,242,168,207,59,405,361
RB1CC1,51,30,163,178,205,43,242,211
ERP44,24,14,84,71,46,24,90,71
ALAS1,42,37,336,191,206,56,338,219
BIRC3,0,0,80,43,2,0,0,3
AKAP11,30,26,137,80,144,28,155,160
GLRX2,54,48,164,179,143,43,251,217
SNAPC1,2,8,36,44,25,3,35,20
DERA,84,41,119,76,140,50,234,253
STRAP,228,202,839,690,1104,299,1848,1834
ABCC2,9,4,6,1,18,14,6,6
DEF6,0,2,5,0,3,0,4,11
PLEKHO1,52,40,200,164,164,44,298,336
GCLM,14,10,37,38,18,12,56,40
UBR2,29,15,130,98,159,44,182,160
EHD2,0,5,216,189,7,1,26,23
DEPDC1,79,36,86,61,172,42,173,143
CCDC28A,7,7,30,27,13,3,19,15
RRAGD,46,33,10,3,86,23,140,92
HSF2,22,20,62,51,94,44,143,173
PHF20,77,41,319,277,413,107,569,568
HSD17B6,1,0,0,0,4,0,5,7
NR1H3,12,4,17,12,22,5,34,39
TYMP,1,0,1,3,0,1,2,2
NCAPH2,77,43,86,84,190,67,432,511
TOMM34,36,39,160,125,202,58,299,315
SEC63,49,26,157,124,172,73,236,180
KPNA6,47,25,269,239,312,86,349,380
VIM,217,158,933,850,509,295,751,725
RTEL1-TNFRSF6B,0,0,0,0,0,0,0,0
FAS,15,6,164,95,37,11,23,29
RNASET2,18,9,19,28,33,19,39,38
CD44,21,17,594,598,59,18,35,23
KCNG1,2,1,10,4,19,2,42,29
AGPAT4,31,17,116,86,156,52,191,171
SLAMF7,0,0,0,0,0,0,0,0
BTN3A1,7,5,37,29,9,4,33,25
MIPEP,8,3,26,17,30,2,29,47
PRKCH,0,0,2,1,0,0,0,0
INSRR,0,0,7,8,0,0,0,0
IFNGR1,46,15,161,105,104,22,205,161
B4GALT7,33,27,167,117,139,19,138,120
SH2D2A,0,0,0,0,0,0,0,0
VRK2,57,29,102,69,169,41,178,223
TNFRSF1B,2,3,7,8,52,19,19,21
VEZT,110,67,427,346,299,111,559,451
POU2F2,9,13,32,45,10,6,9,25
BRD9,36,31,93,68,75,27,199,196
SNX1,77,80,374,275,275,75,313,295
TBPL1,32,16,55,33,47,8,92,86
BMAL2,1,0,3,6,15,1,18,23
BCLAF1,180,160,573,496,790,278,1346,1206
SLC39A9,26,9,166,129,119,42,174,159
ANK1,3,1,0,3,8,0,8,16
IBSP,0,0,0,0,0,0,0,0
TFB1M,71,47,110,96,254,71,405,386
RABEP1,115,64,229,218,343,76,555,509
HMGB3,294,203,367,306,2656,763,1881,1989
NUP160,43,30,82,81,184,57,301,285
BAK1,16,26,84,102,133,21,142,180
MUSK,0,0,1,0,0,0,4,0
IKZF2,3,6,8,12,13,8,13,6
GRN,42,34,757,733,248,69,224,255
FAM13B,22,17,76,62,69,20,116,81
ARHGAP31,7,1,61,55,5,0,9,3
CENPQ,25,10,4,7,54,8,81,76
SARS1,240,190,824,769,824,226,1435,1452
RANBP3,36,25,136,90,193,57,333,346
ARID4A,50,39,177,164,201,57,280,289
EIPR1,18,16,37,36,61,10,87,109
PNPLA6,1,4,10,11,43,10,42,27
IFT88,64,42,177,129,170,51,248,232
ALG1,41,22,139,137,124,37,142,151
ZCCHC8,61,48,92,72,152,25,258,245
ABCF2,8,3,28,56,29,12,52,59
CHPF2,13,16,306,242,91,15,88,99
LRRC7,17,5,121,103,8,1,13,12
FUT8,104,70,153,106,149,70,204,171
UBA6,46,48,161,122,138,33,179,165
GAB2,9,2,21,24,15,6,61,60
ATP6V0A1,34,28,176,99,144,43,183,158
PIAS1,39,29,144,139,169,66,216,250
SLC4A7,30,14,77,65,149,29,177,195
APBA2,21,18,53,61,138,21,187,220
MAP2K3,17,2,52,42,61,10,81,119
CLXN,0,0,1,0,0,0,0,1
TMSB10,7355,6290,24141,24758,9553,2849,14720,12955
ASTE1,1,0,47,21,2,0,5,1
RNF19A,92,52,106,76,109,21,97,84
PEX3,12,9,69,83,32,7,63,70
GABARAPL2,284,247,625,576,569,152,897,924
MYOC,0,0,0,1,0,0,0,0
SH3YL1,27,41,50,51,61,25,146,154
FAM136A,135,105,180,151,527,151,721,858
VCL,332,238,4107,3202,1533,368,1786,1399
DEPDC1B,59,41,6,2,84,27,188,185
DAPK2,0,0,10,2,8,5,9,1
NSMAF,14,2,58,38,48,24,83,78
ADSS2,70,39,131,123,192,45,359,377
STAP1,0,0,0,0,0,0,0,0
TIMP2,12,8,379,377,37,11,41,41
RFC1,144,90,254,298,501,162,848,855
TBC1D23,28,23,222,161,88,23,146,117
CUL3,46,28,86,49,78,31,145,121
MYOM2,0,0,8,12,0,0,9,9
OTC,0,0,0,0,1,0,2,0
CYP46A1,1,0,4,2,18,3,17,17
ZZZ3,85,43,233,155,302,68,377,436
SLC18A1,0,0,1,0,0,0,0,0
USP2,0,0,2,1,4,0,11,7
CASR,0,0,0,0,0,0,0,0
TUBG2,6,3,66,83,26,2,41,36
RPL26L1,84,67,170,153,150,44,218,232
FLT4,1,3,1,4,14,9,47,45
NSUN2,43,26,166,122,193,55,293,299
FBXO42,20,12,63,59,76,22,116,119
MFAP3,21,6,51,45,71,34,89,98
MRI1,11,4,15,22,24,6,46,24
METTL1,23,32,72,69,92,27,246,278
HOXC8,0,0,53,54,0,0,5,0
AGA,39,12,48,49,106,37,139,167
PI4K2B,9,4,23,26,27,12,42,16
BOD1L1,29,22,116,96,124,40,113,105
MAT2B,101,85,120,68,271,97,473,539
TLL1,2,0,4,0,5,0,0,1
EDC4,20,15,93,63,57,12,122,107
TRIO,29,20,158,148,91,14,136,128
VCAN,370,240,648,551,2030,488,1487,1382
CLEC16A,3,1,55,85,56,14,68,75
MSR1,0,0,0,0,0,0,0,0
CDH1,0,0,0,0,0,0,1,1
MTREX,57,44,161,139,254,80,365,304
DNAH5,9,10,3,9,9,1,17,13
ZFYVE16,33,30,146,123,133,31,136,126
RIPOR1,2,3,31,28,14,4,36,36
C6,0,0,6,15,2,0,3,5
RAI14,92,57,721,481,306,91,506,474
SOX30,0,0,4,0,1,0,3,2
PNKP,16,14,67,61,30,22,100,111
BEST2,0,0,0,0,0,0,0,0
PHLPP2,4,7,21,17,30,4,26,41
SPDL1,135,82,544,460,431,87,514,421
STAU2,26,12,37,40,51,22,57,81
SLC66A1,35,22,99,92,99,24,145,153
CTNS,26,17,89,76,71,21,95,87
RTN4R,3,2,2,6,28,4,26,26
PHF23,74,39,256,240,161,35,289,260
CDH10,6,5,2,11,17,7,34,34
INPP4A,3,2,26,27,6,3,34,34
RAB27B,3,1,101,54,8,2,0,0
PSMA4,767,523,1411,1267,1672,572,2591,2667
MYO16,2,1,6,2,19,2,10,6
LSG1,61,46,189,160,263,68,565,527
PARP3,2,0,12,8,4,0,4,4
TNC,67,41,2460,2460,471,93,301,240
THAP3,31,27,108,72,109,20,178,239
RIPOR3,3,0,9,7,26,7,0,0
TDP1,18,10,35,42,137,34,205,210
AIFM2,15,5,68,51,19,11,54,36
SLC19A4P,0,0,0,0,0,0,0,0
SPATA7,46,19,83,89,148,32,185,200
MED17,19,18,35,13,25,9,38,53
RETSAT,14,15,73,83,65,19,118,85
CAPG,8,3,101,90,9,1,6,5
AP2S1,685,533,1819,1914,1561,448,2164,2226
USH2A,0,0,0,0,2,1,0,2
ZPBP,0,0,0,0,0,0,0,0
TG,0,0,8,1,1,0,0,0
ADAM28,0,0,0,0,0,0,0,0
BARX2,0,0,0,0,0,0,0,0
DCUN1D1,37,8,66,78,95,36,131,135
JADE2,1,2,9,7,1,1,0,0
ZIC2,6,13,39,56,38,7,31,16
LCP2,0,0,0,1,0,0,0,0
TRIT1,42,28,65,35,64,34,229,179
ADRB1,0,0,1,0,0,0,0,0
GUCA2B,0,0,0,0,0,0,0,0
CUL7,6,19,117,121,61,14,86,104
CTNNA1,295,229,1413,1188,949,297,1165,1190
PHKA2,12,1,25,21,63,13,63,56
CNTLN,26,23,117,106,179,37,251,245
EPHA3,45,25,476,367,122,30,309,288
HSPA5,929,624,5715,3743,2401,540,3166,2441
DSG2,54,61,252,166,101,29,129,130
GEMIN8,31,35,133,136,219,52,148,176
OFD1,58,34,135,155,314,117,299,264
GPM6B,747,571,33,18,2958,788,1594,1269
MAGEC2,0,0,0,0,0,0,0,0
PREX2,58,33,10,7,120,21,86,125
WDR37,6,10,34,39,65,16,55,60
YTHDC2,19,18,51,41,84,10,136,92
CTPS2,18,12,56,34,113,35,112,84
ATP6V1H,36,36,158,124,137,42,180,169
POLR2B,182,139,515,388,363,181,811,670
ATOSA,3,5,30,20,21,10,14,17
ARAP2,1,0,2,0,0,2,0,0
TPR,306,208,714,745,1273,343,1592,1487
CP,178,133,4,0,210,84,25,4
KATNIP,16,4,60,43,35,13,73,51
DTNBP1,15,12,80,76,74,21,117,126
XK,1,0,0,0,0,1,2,1
